abstrakt;abstract
abstrakten;abstract
abstraktna;abstract
abstraktno;abstract
assert;assert
bajt;byte
brez;void
če;if
celo;int
decimalno;double
dokler;while
dolgo;long
domač;native
drugače;else
javen;public
javna;public
javno;public
končna;final
končnen;final
končno;final
konst;const
konstanta;const
kratko;short
modul;module
nadaljuj;continue
nakoncu;finally
nič;void
nires;false
nov;new
nova;new
novo;new
paket;package
plavajoče;float
počni;do
pojdina;goto
potrebuje;requires
prazen;null
prazna;null
prazno;null
prekini;break
primer;case
primerekod;instanceof
privzet;default
privzeta;default
privzeto;default
probaj;try
razred;class
razširjuje;extends
res;true
resalne;boolean
roditelj;super
sicer;else
sinhronizirano;synchronized
širiven;exports
spr;var
statična;static
statičnen;static
statično;static
stikalo;switch
strictfp;strictfp
to;this
tole;this
tolele;this
transient;transient
ujemi;catch
uvede;implements
uvozi;import
vmesnik;interface
volatile;volatile
vrni;return
vrže;throws
vrži;throw
vštevilčnik;enum
za;for
zaščiten;protected
zaščitena;protected
zaščiteno;protected
zaseben;private
zasebna;private
zasebno;private
znak;char
